Papan VSB,Tepung,Sekrup,Kuas 4,Cat Avian,Batubata,Cat Permata,Seng,Lem Rakol,Martil
Sekrup b ringan,Furing Jumbo,Sekrup Seng,Holo 4 x 4,Semen Putih,Profil C2,Siku Drop,Siku Dalam,Seng
Furing Jumbo,Tepung,Snail 520L,Tiner,Papan VSB,Reng Amplus,Packing,Semen Putih,Bak Kuas,Kuas Rol,Paku,Seng
Furing Kecil,Cat Permata,Profil C2,Tiner,Kuas 2,Profil Monas,Kertas Pasir,keramik 40x40,Granite,Keramik Dinding,Keramik k Mandi,Pipa Listrik,Tepung,Kasa,Akustik Jayaboard
Aplus,Tiner,Kanal Muraic75 75,Kater ,Bambu,Skapolding,Snail 1,050 L,Lem Rakol,Papan VSB,Furing Jumbo,Tepung,Sambungan,Packing,Cat Dulux Aqua Shield,Cat Nodrop,Sekrup 2,Kuas 4,Kertas  ,Sikat Kawat,Reng Amplus,Sika,Tiner,Dempul rj,Be glass white
Sika,Paku,Indo,Dome,Reng Amplus,Panel Merak,Semen  ,Pasir,Profil,Kanal,Papan VSB,Furing Jumbo,Packing,Holo 4 x 4,Akustik Jayaboard,Fuji,Tekuk,Jaya Akustik,Sekrup 2,Paku GRC,Profil Purchase,keramik 40x40,Bambu,Closet Duduk,Pintu PVC
Papan VSB,Furing Jumbo,Tepung,Cat Putih,Kasa,Sekrup,Ramset,Kuas 4,Siku Drop,Holo 4 x 4,Akustik Jayaboard,Benang,Tepung GYP,Batubata,Semen  
Papan VSB,Furing Jumbo,Tepung,Cat Putih,Profil PVC,Sambungan,Packing,Holo 4 x 4,LIS 308,Panel,Kertas Pasir,Benang,Isolasi,Kabel NYA 1,5 mm Hitam,Indo,Panel Kecil,Profil Teratai,Kanal Muraic75 75,Skapolding,Lem Silicon,Tekuk,Dempul rj,Tutup Pipa
Siku Drop,Siku Dalam,Pintu PVC,Pipa Listrik,Panel Merak,Panel Bunga,Isolasi,Kabel NYA 1,5 mm Hitam,Sekrap GYP
Papan VSB,Furing Jumbo,PVC an 8035-5,Akustik Jayaboard,Paku Beton,Biding Polos,Jaya Akustik,Tutup Pipa,Profil Purchase,Granite,Radar,Pipa Listrik,Dome,Profil 69-K,Kertas  ,Seng,Profil PVC
Papan VSB,Furing Jumbo,Tepung,Cat Putih,Kasa,Kuas 2,GRC 4 mm,Keramik Dinding,Keramik k Mandi,C2,Snail 1,050 L,Radar,DOOR CLOSER
Isolasi,Kabel NYA 1,5 mm Hitam,Sekrap GYP,Sika,Paku,Indo,Panel Kecil,Sekrup,Riplank 2,4,Dome,Batubata,Profil,Fuji,Panel,Tepung,Papan VSB,Anggur,PVC Ad-807
Papan VSB,Tepung,Sekrup,Kuas 4,Cat Avian,Batubata,Cat Permata,Seng,Lem Rakol,Martil
Sekrup b ringan,Furing Jumbo,Sekrup Seng,Holo 4 x 4,Semen Putih,Profil C2,Siku Drop,Siku Dalam,Seng
Furing Jumbo,Tepung,Snail 520L,Tiner,Papan VSB,Reng Amplus,Packing,Semen Putih,Bak Kuas,Kuas Rol,Paku,Seng
Furing Kecil,Cat Permata,Profil C2,Tiner,Kuas 2,Profil Monas,Kertas Pasir,keramik 40x40,Granite,Keramik Dinding,Keramik k Mandi,Pipa Listrik,Tepung,Kasa,Akustik Jayaboard
Aplus,Tiner,Kanal Muraic75 75,Kater ,Bambu,Skapolding,Snail 1,050 L,Lem Rakol,Papan VSB,Furing Jumbo,Tepung,Sambungan,Packing,Cat Dulux Aqua Shield,Cat Nodrop,Sekrup 2,Kuas 4,Kertas  ,Sikat Kawat,Reng Amplus,Sika,Tiner,Dempul rj,Be glass white
Sika,Paku,Indo,Dome,Reng Amplus,Panel Merak,Semen  ,Pasir,Profil,Kanal,Papan VSB,Furing Jumbo,Packing,Holo 4 x 4,Akustik Jayaboard,Fuji,Tekuk,Jaya Akustik,Sekrup 2,Paku GRC,Profil Purchase,keramik 40x40,Bambu,Closet Duduk,Pintu PVC
